listing_id,business_name,dba_name,street_address,city,state,zip_code,county,full_address,asking_price,asking_price_numeric,gross_revenue,gross_revenue_numeric,net_income,net_income_numeric,cash_flow,ebitda,monthly_revenue,monthly_expenses,square_footage,building_owned_or_leased,monthly_rent,lease_terms,lease_expiration,real_estate_included,property_type,number_of_washers,number_of_dryers,washer_brands,dryer_brands,equipment_age,equipment_condition,recent_upgrades,card_system,additional_equipment,years_established,hours_of_operation,employees,owner_involvement,business_type,services_offered,demographics,competition,growth_potential,reason_for_sale,listing_date,days_on_market,source_platform,source_url,listing_status,last_updated,broker_name,broker_company,broker_phone,broker_email,contact_method,description,highlights,photos_available,financing_available,seller_financing,training_included,verified,verification_date,data_completeness_score,price_to_revenue_multiple,price_to_earnings_multiple,estimated_roi_percent,payback_period_years,profit_margin_percent,estimated_revenue_from_equipment,market_population_density,market_maturity,market_competition_level,inferred_hours,inferred_owner_involvement,value_assessment,enhanced_completeness_score
CL-NY-001,Yonkers Laundromat,,Location in Yonkers,Yonkers,NY,,,"Yonkers, Westchester County, NY",Not Listed,0.0,"$13,000-$14,000/month",156000.0,,0.0,,,"$13,000-$14,000",,,,,,,No,,,,,,,Brand New Machines,Totally renovated,,,,,,,,,,,,,January 2025,,Craigslist,https://newyork.craigslist.org/wch/bfs/d/yonkers-yonkers-laundromat-for-sale-top/7815592650.html,Active,,,,,,,"Top location, brand new machines, totally renovated","New equipment, high traffic location, strong monthly income",No,,,,True,2025-10-31,0.55,,,,,,,Very High,Mature,High,6 AM - 10 PM daily (typical),Variable (depends on operation),New equipment (low capex),0.35
CL-NY-002,Queens Laundromat,,Forest Hills area,Queens,NY,,Queens County,"Forest Hills, Queens, NY","$280,000",280000.0,"$20,000/month",240000.0,"$5,000-$6,000/month",66000.0,,,"$20,000",,,,,,,No,,,,,,,,,,,,,,,,,,,,,2025,,Craigslist,https://newyork.craigslist.org/que/bfd/d/forest-hills-laundromat-for-sale-queens/7842094786.html,Active,,,,,,,Established operation with strong monthly cash flow,"$20K monthly gross, $5-6K monthly net, established customer base",No,,,,True,2025-10-31,0.65,1.17,4.24,23.6,4.2,27.5,,Very High,Mature,High,6 AM - 10 PM daily (typical),Variable (depends on operation),Strong value (low price-to-revenue); Excellent ROI (>20%); Moderate payback (4-6 years),0.44
CL-CA-001,Taraval Street Laundromat,,Taraval Street,San Francisco,CA,,,"Taraval St, San Francisco, CA",Not Listed,0.0,"$240,000+ average (6-year avg)",240000.0,,0.0,,,,,,,,,,No,,,,,,,,,,,Long-established,,,,Self-serve,,,,,,May 2025,,Craigslist,https://sfbay.craigslist.org/sfc/bfs/d/san-francisco-for-sale-established-self/7848081926.html,Active,,,,,,,Long-established self-serve laundromat with consistent revenue history,"6-year average gross over $240K, established customer base, prime SF location",No,,,,True,2025-10-31,0.5,,,,,,,High,Mature,High,6 AM - 10 PM daily (typical),Low (self-service operation),Insufficient data for valuation,0.34
CL-IL-001,Wheeling Laundromat & Real Estate,,"Wheeling, IL",Wheeling,IL,,,"Wheeling, IL","$375,000",375000.0,,0.0,,0.0,,,,,,,,,,Yes,Building + 3-bedroom apartment + parking lot,,,,,,,,,,Established 1970s (early),,,,Turn-key,,,,,,2025,,Craigslist,https://chicago.craigslist.org/nwc/bfs/d/wheeling-turn-key-laundromat-and-real/7829594940.html,Active,,,,,,,"Turn-key laundromat established in early 1970s, includes real estate: laundromat, upstairs 3-bedroom apartment, and adjacent paved parking lot","Includes building, apartment rental income, parking, established 50+ years",No,,,,True,2025-10-31,0.6,,,,,,,High,Mature,Medium-High,6 AM - 10 PM daily (typical),Variable (depends on operation),Includes real estate (asset value),0.35
CL-CA-002,Citrus Heights Laundromat,,100 N. 1st St (nearby reference),Citrus Heights,CA,,Sacramento County,"Citrus Heights, Sacramento area, CA","$269,000",269000.0,,80400.0,,0.0,,,"$6,700 average",,,,,,,No,,,,Dexter,Dexter,Purchased 2022,All new equipment,All new Dexter equipment purchased in 2022,,,,,,,,,,,,,2025,,Craigslist,https://sacramento.craigslist.org/reo/d/sacramento-laundromat-citrus-heights/7817348740.html,Active,,,,,,,"Laundromat with all new Dexter equipment purchased in 2022, average monthly sales $6,700","New equipment (2022), $6.7K monthly sales, Sacramento market",No,,,,True,2025-10-31,0.7,3.35,,,,,,High,Mature,High,6 AM - 10 PM daily (typical),Variable (depends on operation),Premium pricing (high multiple); New equipment (low capex),0.42
CHI-001,Albany Park Coin Laundry,,3516 West Lawrence Ave,Chicago,IL,60625,,"3516 West Lawrence Ave, Chicago, IL 60625","$175,000",175000.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,Coin laundry operation,,,,,,2025,,"Multiple (BizBuySell, LoopNet)",,Active,,,,,,,Coin laundry operation in Albany Park neighborhood,"Established location, residential area",No,,,,True,2025-10-31,0.45,,,,,,,High,Mature,Medium-High,6 AM - 10 PM daily (typical),Low (self-service operation),Insufficient data for valuation,0.31
CHI-002,Bubble City Laundromat,,1425 W. Morse Ave,Chicago,IL,60626,,"1425 W. Morse Ave, Chicago, IL 60626","$190,000",190000.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,2025,,Multiple,,Active,,,,,,,Laundromat in Rogers Park area,,No,,,,True,2025-10-31,0.4,,,,,,,High,Mature,Medium-High,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.29
CHI-003,Moonlight Coin Laundry,,5304 W Fullerton Ave,Chicago,IL,60639,,"5304 W Fullerton Ave, Chicago, IL 60639","$170,000",170000.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,Coin laundry,,,,,,2025,,Multiple,,Active,,,,,,,,,No,,,,True,2025-10-31,0.4,,,,,,,High,Mature,Medium-High,6 AM - 10 PM daily (typical),Low (self-service operation),Insufficient data for valuation,0.29
CHI-004,Friendly Wash Laundromat,,3858 N Kedzie Ave,Chicago,IL,,,"3858 N Kedzie Ave, Chicago, IL","$790,000",790000.0,,0.0,,0.0,,,,,,,,,,No,,,,,,,,,,,,,,,Established laundromat,,,,,,2025,,Multiple,,Active,,,,,,,Premium established laundromat in Chicago,High asking price indicates strong performance,No,,,,True,2025-10-31,0.4,,,,,,,High,Mature,Medium-High,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.3
FB-CA-001,Campbell Laundromat & Pure Water Business,,Campbell area,Campbell,CA,,,"Campbell, CA (San Jose area)","$300,000",300000.0,,0.0,,0.0,,,,,,,,,,No,,52,41,,,,,,,,,,,,,Laundromat + Pure Water Business,,,,,2025,,Facebook Marketplace,,Active,,,,,,,"Laundromat with 52 washers and 41 dryers, includes pure water business","Large capacity (52W/41D), dual business model, Silicon Valley area",No,,,,True,2025-10-31,0.55,,,,,,208000,High,Mature,High,6 AM - 10 PM daily (typical),Variable (depends on operation),Insufficient data for valuation,0.34
